"","eventDate","eventType","scopeStartDate","eventYear"
"1",2008-07-05,"local",2008-06-05,"2008"
"2",2007-08-11,"presidential & parliamentary",2007-07-12,"2007"
"3",2002-05-14,"presidential & parliamentary",2002-04-14,"2002"
"4",1996-02-27,"presidential & parliamentary",1996-01-28,"1996"
"5",1991-08-30,"constitutional referendum",1991-07-31,"1991"
"6",1986-05-30,"parliamentary",1986-04-30,"1986"
"7",1985-10-01,"presidential",1985-09-01,"1985"
"8",1982-05-01,"parliamentary",1982-04-01,"1982"
