"","eventDate","eventType","scopeStartDate","eventYear"
"1",2005-10-11,"presidential & legislative",2005-09-11,"2005"
"2",1997-07-19,"presidential & legislative",1997-06-19,"1997"
"3",1985-10-15,"presidential & legislative",1985-09-15,"1985"
"4",1984-07-03,"constitutional referendum",1984-06-03,"1984"
