"","eventDate","eventType","scopeStartDate","eventYear"
"1",2009-03-15,"presidential",2009-02-13,"2009"
"2",2006-03-12,"legislative",2006-02-10,"2006"
"3",2004-03-21,"presidential",2004-02-20,"2004"
"4",2003-03-16,"legislative",2003-02-14,"2003"
"5",2000-03-12,"legislative",2000-02-11,"2000"
"6",1999-03-07,"presidential",1999-02-05,"1999"
"7",1997-03-16,"legislative",1997-02-14,"1997"
"8",1994-03-20,"presidential & legislative",1994-02-18,"1994"
"9",1991-03-10,"legislative",1991-02-08,"1991"
"10",1989-03-19,"presidential",1989-02-17,"1989"
"11",1988-03-20,"legislative",1988-02-19,"1988"
"12",1985-03-31,"legislative",1985-03-01,"1985"
"13",1984-03-25,"presidential",1984-02-24,"1984"
"14",1982-04-29,"indirect presidential",1982-03-30,"1982"
