"","eventDate","eventType","scopeStartDate","eventYear"
"1",2007-05-14,"legislative & local",2007-04-14,"2007"
"2",2004-05-10,"presidential, legislative & local",2004-04-10,"2004"
"3",2001-05-14,"legislative & local",2001-04-14,"2001"
"4",1998-05-11,"presidential, legislative & local",1998-04-11,"1998"
"5",1995-05-08,"legislative & local",1995-04-08,"1995"
"6",1992-05-11,"presidential & legislative",1992-04-11,"1992"
"7",1988-01-18,"local",1987-12-19,"1988"
"8",1987-05-11,"legislative",1987-04-11,"1987"
"9",1987-02-02,"constitutional plebiscite",1987-01-03,"1987"
"10",1986-02-07,"presidential",1986-01-08,"1986"
"11",1984-05-14,"parliamentary",1984-04-14,"1984"
"12",1984-01-27,"national & local constitutional plebiscite",1983-12-28,"1984"
"13",1981-06-16,"presidential",1981-05-17,"1981"
"14",1981-04-07,"constitutional referendum",1981-03-08,"1981"
