"","region","totalCasualtiesHighLowAvg","latitude","longitude"
"1","Philippines",42,"13","122"
"2","Manila",114,"14.6042","120.982"
"3","Estrada",0,"17.75","121.667"
"4","Malacanang",0,"15.4978","121.082"
"5","Metro Manila",0,"14.5833","121"
"6","Tanauan",1,"11.1094","125.016"
"7","Lantawan",0,"6.6402","121.84"
