"","region","totalCasualtiesHighLowAvg","latitude","longitude"
"1","Maguindanao",0,"7.13333","124.3"
"2","Manila",0,"14.6042","120.982"
"3","Malacanang",18,"15.4978","121.082"
"4","Philippines",0,"13","122"
