"","region","totalCasualtiesHighLowAvg","latitude","longitude"
"1","Taganak Island",0,"6.08","118.319"
"2","Maguindanao",8,"7.13333","124.3"
"3","Makati",0,"13.0008","120.813"
"4","Davao City",0,"7.07306","125.613"
"5","Manila",0,"14.6042","120.982"
"6","Culiat",0,"14.6658","121.068"
"7","Taganak",0,"6.08333","118.3"
"8","Philippines",874,"13","122"
