"","region","totalCasualtiesHighLowAvg","latitude","longitude"
"1","Cagayan",7,"18","121.833"
"2","Camarines Sur",7,"13.6667","123.333"
"3","Davao Del Norte",11,"7.5","126"
"4","Surigao Del Sur",7,"8.66667","126"
"5","Mindanao",0,"9.62667","123.381"
"6","Negros Occidental",0,"10.4167","123"
